"Status","Name","Duration in ms","Description"
"passed","UI element..getText()","9",""
"passed","Pointer Events.events instance","3",""
"passed","Page.page instance","5",""
"passed","UI element..isSelected()","3",""
"passed","UI element..waitForVisible()","2",""
"passed","UI element.element instance","6",""
"passed","Page..addElements()","6",""
"passed","UI element..waitForInvisible()","2",""
"passed","import.Plugin lazy import","2",""
"passed","e2e web tests.Browser viewport is set","4472",""
"passed","help.plugin help contains option","4",""
"passed","UI element..setText()","2",""
"passed","Pointer Events..up()","2",""
"passed","Page..setDriver()","1",""
"passed","Pointer Events.events._getDriver()","2",""
"passed","UI element..waitForExist()","2",""
"passed","Pointer Events..over()","2",""
"passed","UI element..scrollIntoView()","2",""
"passed","Page..getDriver()","3",""
"passed","Pointer Events..leave()","1",""
"passed","Pointer Events..out()","2",""
"passed","Steps.._pages()","12",""
"passed","Pointer Events..enter()","2",""
"passed","Pointer Events..down()","2",""
"passed","Steps.._setChromeOpts()","3",""
"passed","UI element..waitForNonExist()","2",""
"passed","UI element..isVisible()","2",""
"passed","UI element.._getDriver()","2",""
"passed","UI element..pClick()","4",""
"passed","Pointer Events..move()","1",""
"passed","e2e web tests.Page Object","5446",""
"passed","Page..removeElements()","2",""
"passed","config.config","4",""
"passed","UI element..getElement()","1",""
"passed","UI element..click()","2",""
"passed","UI element..location()","2",""
"passed","Steps..setViewport()","10",""
"passed","UI element..isExist()","2",""
"passed","Pointer Events..cancel()","2",""
